outputdir;file;typeCONN;rep;name
Lt64Ls16beta6.55mf0.69mas0.97FUN;out_spectrum;DEFAULT_SEMWALL TRIPLET;FUN;B3MF1MA1
Lt64Ls16beta6.55mf0.69mas0.97AS;out_spectrum;DEFAULT_SEMWALL TRIPLET;AS;B3MF1MA1
Lt64Ls16beta6.55mf0.69mas0.99FUN;out_spectrum;DEFAULT_SEMWALL TRIPLET;FUN;B3MF1MA2
Lt64Ls16beta6.55mf0.69mas0.99AS;out_spectrum;DEFAULT_SEMWALL TRIPLET;AS;B3MF1MA2
Lt64Ls16beta6.55mf0.69mas1.01FUN;out_spectrum;DEFAULT_SEMWALL TRIPLET;FUN;B3MF1MA3
Lt64Ls16beta6.55mf0.69mas1.01AS;out_spectrum;DEFAULT_SEMWALL TRIPLET;AS;B3MF1MA3
Lt64Ls16beta6.55mf0.70mas0.97FUN;out_spectrum;DEFAULT_SEMWALL TRIPLET;FUN;B3MF2MA1
Lt64Ls16beta6.55mf0.70mas0.97AS;out_spectrum;DEFAULT_SEMWALL TRIPLET;AS;B3MF2MA1
Lt64Ls16beta6.55mf0.70mas0.99FUN;out_spectrum;DEFAULT_SEMWALL TRIPLET;FUN;B3MF2MA2
Lt64Ls16beta6.55mf0.70mas0.99AS;out_spectrum;DEFAULT_SEMWALL TRIPLET;AS;B3MF2MA2
Lt64Ls16beta6.55mf0.70mas1.01FUN;out_spectrum;DEFAULT_SEMWALL TRIPLET;FUN;B3MF2MA3
Lt64Ls16beta6.55mf0.70mas1.01AS;out_spectrum;DEFAULT_SEMWALL TRIPLET;AS;B3MF2MA3
Lt64Ls16beta6.55mf0.71mas0.97FUN;out_spectrum;DEFAULT_SEMWALL TRIPLET;FUN;B3MF3MA1
Lt64Ls16beta6.55mf0.71mas0.97AS;out_spectrum;DEFAULT_SEMWALL TRIPLET;AS;B3MF3MA1
Lt64Ls16beta6.55mf0.71mas0.99FUN;out_spectrum;DEFAULT_SEMWALL TRIPLET;FUN;B3MF3MA2
Lt64Ls16beta6.55mf0.71mas0.99AS;out_spectrum;DEFAULT_SEMWALL TRIPLET;AS;B3MF3MA2
Lt64Ls16beta6.55mf0.71mas1.01FUN;out_spectrum;DEFAULT_SEMWALL TRIPLET;FUN;B3MF3MA3
Lt64Ls16beta6.55mf0.71mas1.01AS;out_spectrum;DEFAULT_SEMWALL TRIPLET;AS;B3MF3MA3
Lt64Ls20beta6.55mf0.69mas0.97FUN;out_spectrum;DEFAULT_SEMWALL TRIPLET;FUN;B3MF1MA1L2
Lt64Ls20beta6.55mf0.69mas0.97AS;out_spectrum;DEFAULT_SEMWALL TRIPLET;AS;B3MF1MA1L2
Lt64Ls20beta6.55mf0.69mas0.99FUN;out_spectrum;DEFAULT_SEMWALL TRIPLET;FUN;B3MF1MA2L2
Lt64Ls20beta6.55mf0.69mas0.99AS;out_spectrum;DEFAULT_SEMWALL TRIPLET;AS;B3MF1MA2L2
Lt64Ls20beta6.55mf0.69mas1.01FUN;out_spectrum;DEFAULT_SEMWALL TRIPLET;FUN;B3MF1MA3L2
Lt64Ls20beta6.55mf0.69mas1.01AS;out_spectrum;DEFAULT_SEMWALL TRIPLET;AS;B3MF1MA3L2
Lt64Ls20beta6.55mf0.70mas0.97FUN;out_spectrum;DEFAULT_SEMWALL TRIPLET;FUN;B3MF2MA1L2
Lt64Ls20beta6.55mf0.70mas0.97AS;out_spectrum;DEFAULT_SEMWALL TRIPLET;AS;B3MF2MA1L2
Lt64Ls20beta6.55mf0.70mas0.99FUN;out_spectrum;DEFAULT_SEMWALL TRIPLET;FUN;B3MF2MA2L2
Lt64Ls20beta6.55mf0.70mas0.99AS;out_spectrum;DEFAULT_SEMWALL TRIPLET;AS;B3MF2MA2L2
Lt64Ls20beta6.55mf0.70mas1.01FUN;out_spectrum;DEFAULT_SEMWALL TRIPLET;FUN;B3MF2MA3L2
Lt64Ls20beta6.55mf0.70mas1.01AS;out_spectrum;DEFAULT_SEMWALL TRIPLET;AS;B3MF2MA3L2
Lt64Ls20beta6.55mf0.71mas0.97FUN;out_spectrum;DEFAULT_SEMWALL TRIPLET;FUN;B3MF3MA1L2
Lt64Ls20beta6.55mf0.71mas0.97AS;out_spectrum;DEFAULT_SEMWALL TRIPLET;AS;B3MF3MA1L2
Lt64Ls20beta6.55mf0.71mas0.99FUN;out_spectrum;DEFAULT_SEMWALL TRIPLET;FUN;B3MF3MA2L2
Lt64Ls20beta6.55mf0.71mas0.99AS;out_spectrum;DEFAULT_SEMWALL TRIPLET;AS;B3MF3MA2L2
Lt64Ls20beta6.55mf0.71mas1.01FUN;out_spectrum;DEFAULT_SEMWALL TRIPLET;FUN;B3MF3MA3L2
Lt64Ls20beta6.55mf0.71mas1.01AS;out_spectrum;DEFAULT_SEMWALL TRIPLET;AS;B3MF3MA3L2
