ensemble;rep;channel;tmin;tmax;tp;Nmax;
B3MF1MA1;FUN;g5;17;26;1;1;
B3MF1MA2;FUN;g5;20;26;1;1;
B3MF1MA3;FUN;g5;20;24;1;1;
B3MF2MA1;FUN;g5;19;26;1;1;
B3MF2MA2;FUN;g5;20;24;1;1;
B3MF2MA3;FUN;g5;18;25;1;1;
B3MF3MA1;FUN;g5;16;26;1;1;
B3MF3MA2;FUN;g5;17;25;1;1;
B3MF3MA3;FUN;g5;18;27;1;1;
B3MF1MA1;AS;g5;18;27;1;1;
B3MF1MA2;AS;g5;21;27;1;1;
B3MF1MA3;AS;g5;20;26;1;1;
B3MF2MA1;AS;g5;16;27;1;1;
B3MF2MA2;AS;g5;18;27;1;1;
B3MF2MA3;AS;g5;20;25;1;1;
B3MF3MA1;AS;g5;16;26;1;1;
B3MF3MA2;AS;g5;21;26;1;1;
B3MF3MA3;AS;g5;22;26;1;1;
B1MF1MA1;FUN;g5;16;18;1;2;
B1MF1MA2;FUN;g5;14;20;1;2;
B1MF1MA3;FUN;g5;19;21;1;2;
B1MF1MA4;FUN;g5;19;21;1;2;
B1MF2MA1;FUN;g5;19;21;1;2;
B1MF3MA1;FUN;g5;18;21;1;2;
B1MF1MA1;AS;g5;10;24;1;2;
B1MF1MA2;AS;g5;10;24;1;2;
B1MF1MA3;AS;g5;10;28;1;2;
B1MF1MA4;AS;g5;16;26;1;2;
B1MF2MA1;AS;g5;10;28;1;2;
B1MF3MA1;AS;g5;12;28;1;2;
B3MF1MA1L2;FUN;g5;17;25;1;1;
B3MF1MA2L2;FUN;g5;19;24;1;1;
B3MF1MA3L2;FUN;g5;21;25;1;1;
B3MF2MA1L2;FUN;g5;20;25;1;1;
B3MF2MA2L2;FUN;g5;19;24;1;1;
B3MF2MA3L2;FUN;g5;20;24;1;1;
B3MF3MA1L2;FUN;g5;18;25;1;1;
B3MF3MA2L2;FUN;g5;19;25;1;1;
B3MF3MA3L2;FUN;g5;20;24;1;1;
B3MF1MA1L2;AS;g5;20;28;1;1;
B3MF1MA2L2;AS;g5;20;25;1;1;
B3MF1MA3L2;AS;g5;22;25;1;1;
B3MF2MA1L2;AS;g5;17;27;1;1;
B3MF2MA2L2;AS;g5;20;26;1;1;
B3MF2MA3L2;AS;g5;22;26;1;1;
B3MF3MA1L2;AS;g5;17;27;1;1;
B3MF3MA2L2;AS;g5;21;26;1;1;
B3MF3MA3L2;AS;g5;22;26;1;1;
B3MF1MA1;FUN;g1;20;26;1;1;
B3MF1MA2;FUN;g1;20;25;1;1;
B3MF1MA3;FUN;g1;20;25;1;1;
B3MF2MA1;FUN;g1;21;26;1;1;
B3MF2MA2;FUN;g1;19;24;1;1;
B3MF2MA3;FUN;g1;18;26;1;1;
B3MF3MA1;FUN;g1;17;27;1;1;
B3MF3MA2;FUN;g1;17;24;1;1;
B3MF3MA3;FUN;g1;19;25;1;1;
B3MF1MA1;AS;g1;18;28;1;1;
B3MF1MA2;AS;g1;21;27;1;1;
B3MF1MA3;AS;g1;20;27;1;1;
B3MF2MA1;AS;g1;17;28;1;1;
B3MF2MA2;AS;g1;17;27;1;1;
B3MF2MA3;AS;g1;20;25;1;1;
B3MF3MA1;AS;g1;17;28;1;1;
B3MF3MA2;AS;g1;21;26;1;1;
B3MF3MA3;AS;g1;23;28;1;1;
B1MF1MA1;FUN;g1;10;24;1;2;
B1MF1MA2;FUN;g1;10;24;1;2;
B1MF1MA3;FUN;g1;10;28;1;2;
B1MF1MA4;FUN;g1;10;28;1;2;
B1MF2MA1;FUN;g1;10;24;1;2;
B1MF3MA1;FUN;g1;10;26;1;2;
B1MF1MA1;AS;g1;10;24;1;2;
B1MF1MA2;AS;g1;10;24;1;2;
B1MF1MA3;AS;g1;10;28;1;2;
B1MF1MA4;AS;g1;16;26;1;2;
