ensemble;rep;channel;tmin;tmax;tp;Nmax;
B3MF1MA1;FUN;g0g5;14;25;1;1;
B3MF1MA2;FUN;g0g5;18;26;1;1;
B3MF1MA3;FUN;g0g5;16;25;1;1;
B3MF2MA1;FUN;g0g5;19;26;1;1;
B3MF2MA2;FUN;g0g5;15;26;1;1;
B3MF2MA3;FUN;g0g5;15;25;1;1;
B3MF3MA1;FUN;g0g5;14;26;1;1;
B3MF3MA2;FUN;g0g5;15;24;1;1;
B3MF3MA3;FUN;g0g5;16;23;1;1;
B3MF1MA1;AS;g0g5;17;27;1;1;
B3MF1MA2;AS;g0g5;21;27;1;1;
B3MF1MA3;AS;g0g5;20;26;1;1;
B3MF2MA1;AS;g0g5;14;27;1;1;
B3MF2MA2;AS;g0g5;18;27;1;1;
B3MF2MA3;AS;g0g5;18;25;1;1;
B3MF3MA1;AS;g0g5;14;26;1;1;
B3MF3MA2;AS;g0g5;15;26;1;1;
B3MF3MA3;AS;g0g5;18;26;1;1;
B3MF1MA1L2;FUN;g0g5;17;25;1;1;
B3MF1MA2L2;FUN;g0g5;15;24;1;1;
B3MF1MA3L2;FUN;g0g5;20;26;1;1;
B3MF2MA1L2;FUN;g0g5;17;25;1;1;
B3MF2MA2L2;FUN;g0g5;17;24;1;1;
B3MF2MA3L2;FUN;g0g5;20;24;1;1;
B3MF3MA1L2;FUN;g0g5;15;25;1;1;
B3MF3MA2L2;FUN;g0g5;13;25;1;1;
B3MF3MA3L2;FUN;g0g5;14;24;1;1;
B3MF1MA1L2;AS;g0g5;20;28;1;1;
B3MF1MA2L2;AS;g0g5;16;26;1;1;
B3MF1MA3L2;AS;g0g5;22;25;1;1;
B3MF2MA1L2;AS;g0g5;17;27;1;1;
B3MF2MA2L2;AS;g0g5;18;26;1;1;
B3MF2MA3L2;AS;g0g5;20;26;1;1;
B3MF3MA1L2;AS;g0g5;15;27;1;1;
B3MF3MA2L2;AS;g0g5;20;26;1;1;
B3MF3MA3L2;AS;g0g5;22;26;1;1;
B3MF1MA3L3;FUN;g0g5;19;24;1;1
B3MF2MA2L3;FUN;g0g5;19;24;1;1
B3MF2MA3L3;FUN;g0g5;19;24;1;1
B3MF3MA2L3;FUN;g0g5;16;24;1;1
B3MF3MA3L3;FUN;g0g5;16;26;1;1
B3MF1MA3L3;AS;g0g5;16;25;1;1
B3MF2MA2L3;AS;g0g5;18;23;1;1
B3MF2MA3L3;AS;g0g5;21;27;1;1
B3MF3MA2L3;AS;g0g5;17;26;1;1
B3MF3MA3L3;AS;g0g5;20;26;1;1
M1;FUN;g0g5;14;18;1;1
M2;FUN;g0g5;17;24;1;1
M3;FUN;g0g5;18;40;1;1
M4;FUN;g0g5;18;24;1;1
M5;FUN;g0g5;18;24;1;1
M1;AS;g0g5;15;20;1;1
M2;AS;g0g5;18;25;1;1
M3;AS;g0g5;20;41;1;1
M4;AS;g0g5;17;26;1;1
M5;AS;g0g5;18;24;1;1
N1;FUN;g0g5;25;40;1;1
N1;AS;g0g5;25;40;1;1
N2;FUN;g0g5;25;40;1;1
N2;AS;g0g5;25;40;1;1
