ensemble;channel;t0;binsize;deriv;ops
M1;g5_singlet;1;2;true;(1,5,9,10,14,18)
M2;g5_singlet;1;2;true;(1,5,9,10,14,18)
M3;g5_singlet;1;2;true;(1,5,9,10,14,18)
M4;g5_singlet;1;2;true;(1,5,9,10,14,18)
M5;g5_singlet;1;2;true;(1,5,9,10,14,18)
M1;g5_nonsinglet_FUN;2;2;false;(1,5,9)
M2;g5_nonsinglet_FUN;2;2;false;(1,5,9)
M3;g5_nonsinglet_FUN;2;2;false;(1,5,9)
M4;g5_nonsinglet_FUN;2;2;false;(1,5,9)
M5;g5_nonsinglet_FUN;2;2;false;(1,5,9)
M1;g5_nonsinglet_AS;2;2;false;(1,5,9)
M2;g5_nonsinglet_AS;2;2;false;(1,5,9)
M3;g5_nonsinglet_AS;2;2;false;(1,5,9)
M4;g5_nonsinglet_AS;2;2;false;(1,5,9)
M5;g5_nonsinglet_AS;2;2;false;(1,5,9)
M1;g1_nonsinglet_FUN;2;2;false;(1,5,9)
M2;g1_nonsinglet_FUN;2;2;false;(1,5,9)
M3;g1_nonsinglet_FUN;2;2;false;(1,5,9)
M4;g1_nonsinglet_FUN;2;2;false;(1,5,9)
M5;g1_nonsinglet_FUN;2;2;false;(1,5,9)
M1;g1_nonsinglet_AS;2;2;false;(1,5,9)
M2;g1_nonsinglet_AS;2;2;false;(1,5,9)
M3;g1_nonsinglet_AS;2;2;false;(1,5,9)
M4;g1_nonsinglet_AS;2;2;false;(1,5,9)
M5;g1_nonsinglet_AS;2;2;false;(1,5,9)
